Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  8731   ??    0.0 S    20T   0:04.76   0:05.64 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49174 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-84sxl1km --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        8731         0.0 S    20T   0:02.97   0:00.37 
        8731         0.0 S    20T   0:01.21   0:00.54 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:01.01   0:00.39 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:01.94   0:01.07 
        8731         0.0 S    19T   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.00   0:00.00 
        8731         0.0 S    20T   0:01.12   0:00.43 
        8731         0.0 S    20T   0:01.30   0:00.50 
        8731         0.0 S    20T   0:01.16   0:00.45 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:02.30   0:01.24 
        8731         0.0 S    20T   0:01.94   0:01.03 
        8731         0.0 S    20T   0:01.97   0:01.08 
        8731         0.0 S    20T   0:00.05   0:00.04 
        8731         0.0 S    20T   0:02.06   0:01.07 
        8731         0.0 S    20R   0:00.02   0:00.01 
        8731         0.0 S    20T   0:02.22   0:01.20 
        8731         0.0 S    20R   0:00.42   0:00.36 
        8731         0.0 S    20R   0:00.14   0:00.07 
        8731         0.0 S    20R   0:00.12   0:00.06 
        8731         0.0 S    20R   0:00.18   0:00.10 
        8731         0.0 S    20R   0:00.08   0:00.04 
        8731         0.0 S    20R   0:00.22   0:00.19 
        8731         0.0 S    20R   0:00.06   0:00.04 
        8731         0.0 S    20R   0:00.55   0:00.56 
        8731         0.0 S    20T   0:00.11   0:00.05 
        8731         0.0 S    20R   0:00.28   0:00.22 
        8731         0.0 S    20R   0:00.24   0:00.19 
        8731         0.0 S    20R   0:00.26   0:00.23 
        8731         0.0 S    20R   0:00.05   0:00.04 
        8731         0.0 S    20R   0:00.16   0:00.13 
        8731         0.0 S    20R   0:00.09   0:00.05 
        8731         0.0 S    20R   0:00.03   0:00.02 
        8731         0.0 S    20R   0:00.02   0:00.01 
        8731         0.0 S    20R   0:00.02   0:00.01 
