Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  8731   ??    0.1 S    20T   0:00.14   0:00.16 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49174 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-84sxl1km --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        8731         0.0 S    20T   0:00.06   0:00.01 
        8731         0.0 S    20T   0:00.10   0:00.10 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.03   0:00.01 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.04   0:00.02 
        8731         0.0 S    20T   0:00.06   0:00.02 
        8731         0.0 S    19T   0:00.00   0:00.00 
        8731         0.0 S    20R   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.01   0:00.00 
        8731         0.0 S    20T   0:00.02   0:00.01 
        8731         0.0 S    20T   0:00.03   0:00.01 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20R   0:00.03   0:00.05 
        8731         0.0 S    20R   0:00.01   0:00.01 
        8731         0.0 S    20R   0:00.01   0:00.01 
        8731         0.0 S    20R   0:00.01   0:00.01 
        8731         0.0 S    20R   0:00.06   0:00.06 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.01 
        8731         0.0 S    20R   0:00.03   0:00.02 
        8731         0.1 S    20T   0:00.04   0:00.02 
        8731         0.0 S    20T   0:00.02   0:00.01 
        8731         0.0 S    20R   0:00.04   0:00.04 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.01 
        8731         0.0 S    20T   0:00.03   0:00.01 
        8731         0.0 S    20T   0:00.02   0:00.01 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.00   0:00.00 
        8731         0.0 S    20T   0:00.00   0:00.00 
        8731         0.0 S    20R   0:00.00   0:00.00 
        8731         0.0 S    20R   0:00.01   0:00.00 
        8731         0.0 S    20R   0:00.00   0:00.00 
