Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  3639   ??    0.0 S    20T   0:02.12   0:04.05 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49169 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-ma3g2x0f --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        3639         0.0 S    20T   0:00.32   0:00.18 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.25   0:00.32 
        3639         0.0 S    20T   0:00.32   0:00.42 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.82   0:00.67 
        3639         0.0 S    20T   0:00.75   0:00.62 
        3639         0.0 S    19T   0:00.00   0:00.00 
        3639         0.0 S    20R   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.12   0:00.15 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.22   0:00.28 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.31   0:00.40 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.71   0:00.59 
        3639         0.0 S    20T   0:00.73   0:00.61 
        3639         0.0 S    20T   0:00.80   0:00.65 
        3639         0.0 S    20T   0:00.02   0:00.04 
        3639         0.0 S    20T   0:00.58   0:00.47 
        3639         0.0 S    20R   0:00.01   0:00.00 
        3639         0.0 S    20T   0:00.62   0:00.51 
        3639         0.0 S    20T   0:00.00   0:00.00 
        3639         0.0 S    20T   0:00.09   0:00.12 
        3639         0.0 S    20R   0:00.11   0:00.14 
        3639         0.0 S    20R   0:00.17   0:00.13 
        3639         0.0 S    20R   0:00.14   0:00.12 
        3639         0.0 S    20R   0:00.05   0:00.04 
        3639         0.0 S    20R   0:00.26   0:00.36 
        3639         0.0 S    20R   0:00.08   0:00.06 
        3639         0.0 S    20R   0:00.05   0:00.06 
        3639         0.0 S    20R   0:00.12   0:00.16 
        3639         0.0 S    20R   0:00.04   0:00.05 
        3639         0.0 S    20R   0:00.12   0:00.16 
        3639         0.0 S    20R   0:00.02   0:00.01 
        3639         0.0 S    20R   0:00.10   0:00.18 
        3639         0.0 S    20R   0:00.02   0:00.03 
        3639         0.0 S    20R   0:00.01   0:00.01 
        3639         0.0 S    20R   0:00.01   0:00.01 
        3639         0.0 S    20R   0:00.03   0:00.05 
        3639         0.0 S    20R   0:00.01   0:00.01 
        3639         0.0 S    20R   0:00.00   0:00.00 
