Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 39527   ??    0.0 S    20T   0:08.01   0:10.18 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49185 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-lnu41xtl --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       39527         0.0 S    20T   0:04.52   0:00.64 
       39527         0.0 S    20T   0:00.00   0:00.00 
       39527         0.0 S    20T   0:01.61   0:00.73 
       39527         0.0 S    20T   0:01.72   0:00.76 
       39527         0.0 S    20T   0:00.00   0:00.00 
       39527         0.0 S    19T   0:00.01   0:00.01 
       39527         0.0 S    20R   0:00.00   0:00.00 
       39527         0.0 S    20T   0:00.00   0:00.00 
       39527         0.0 S    20T   0:02.05   0:01.03 
       39527         0.0 S    20T   0:01.84   0:00.81 
       39527         0.0 S    20T   0:00.00   0:00.00 
       39527         0.0 S    20T   0:01.11   0:00.48 
       39527         0.0 S    20T   0:00.00   0:00.00 
       39527         0.0 S    20T   0:03.08   0:01.93 
       39527         0.0 S    20T   0:00.06   0:00.05 
       39527         0.0 S    20T   0:03.40   0:02.16 
       39527         0.0 S    20T   0:02.71   0:01.64 
       39527         0.0 S    20T   0:03.25   0:02.08 
       39527         0.0 S    20T   0:03.05   0:01.93 
       39527         0.0 S    20R   0:00.59   0:00.31 
       39527         0.0 S    20T   0:01.65   0:01.02 
       39527         0.0 S    20R   0:00.02   0:00.01 
       39527         0.0 S    20T   0:00.79   0:00.34 
       39527         0.0 S    20R   0:00.13   0:00.09 
       39527         0.0 S    20R   0:00.65   0:00.58 
       39527         0.0 S    20R   0:00.23   0:00.12 
       39527         0.0 S    20R   0:00.65   0:00.65 
       39527         0.0 S    20T   0:00.65   0:00.44 
       39527         0.0 S    20R   0:00.21   0:00.18 
       39527         0.0 S    20R   0:00.38   0:00.37 
       39527         0.0 S    20R   0:00.18   0:00.14 
       39527         0.0 S    20R   0:00.11   0:00.06 
       39527         0.0 S    20R   0:00.62   0:00.73 
       39527         0.0 S    20R   0:00.22   0:00.13 
       39527         0.0 S    20R   0:00.12   0:00.07 
       39527         0.0 S    20R   0:00.06   0:00.03 
       39527         0.0 S    20R   0:00.11   0:00.11 
       39527         0.0 S    20R   0:00.02   0:00.01 
