Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  2622   ??    0.0 S    20T   0:02.93   0:05.28 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49169 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-6_j72a4_ --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        2622         0.0 S    20T   0:00.40   0:00.20 
        2622         0.0 S    20T   0:00.37   0:00.44 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:01.11   0:00.95 
        2622         0.0 S    19T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.37   0:00.44 
        2622         0.0 S    20T   0:00.15   0:00.18 
        2622         0.0 S    20T   0:00.28   0:00.34 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.39   0:00.46 
        2622         0.0 S    20T   0:00.92   0:00.78 
        2622         0.0 S    20T   0:00.02   0:00.04 
        2622         0.0 S    20T   0:01.01   0:00.87 
        2622         0.0 S    20R   0:01.18   0:02.12 
        2622         0.0 S    20T   0:00.93   0:00.79 
        2622         0.0 S    20R   0:00.90   0:01.13 
        2622         0.0 S    20T   0:00.90   0:00.77 
        2622         0.0 S    20T   0:00.84   0:00.72 
        2622         0.0 S    20T   0:00.68   0:00.59 
        2622         0.0 S    20R   0:00.07   0:00.08 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.09   0:00.07 
        2622         0.0 S    20R   0:00.07   0:00.05 
        2622         0.0 S    20R   0:00.03   0:00.02 
        2622         0.0 S    20R   0:00.12   0:00.17 
        2622         0.0 S    20R   0:00.05   0:00.06 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.03   0:00.03 
        2622         0.0 S    20R   0:00.01   0:00.01 
        2622         0.0 S    20R   0:00.04   0:00.06 
        2622         0.0 S    20R   0:00.01   0:00.00 
        2622         0.0 S    20R   0:00.01   0:00.01 
        2622         0.0 S    20R   0:00.02   0:00.03 
        2622         0.0 S    20R   0:00.03   0:00.05 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.03   0:00.06 
        2622         0.0 S    20R   0:00.00   0:00.01 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.01   0:00.01 
