Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 13943   ??    0.0 S    20T   0:08.43   0:13.87 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49176 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-t76v2oox --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       13943         0.0 S    20T   0:17.78   0:02.51 
       13943         0.0 S    20T   0:06.38   0:02.52 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:06.86   0:02.77 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:03.55   0:03.13 
       13943         0.0 S    20T   0:03.24   0:02.74 
       13943         0.0 S    19T   0:00.05   0:00.02 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:06.39   0:02.54 
       13943         0.0 S    20T   0:06.69   0:02.67 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:05.31   0:02.10 
       13943         0.0 S    20T   0:03.61   0:03.23 
       13943         0.0 S    20T   0:03.63   0:03.23 
       13943         0.0 S    20T   0:00.19   0:00.15 
       13943         0.0 S    20R   0:00.79   0:01.35 
       13943         0.0 S    20R   0:01.12   0:00.62 
       13943         0.0 S    20T   0:03.65   0:03.16 
       13943         0.0 S    20T   0:03.03   0:02.65 
       13943         0.0 S    20T   0:01.75   0:00.67 
       13943         0.0 S    20R   0:00.69   0:01.14 
       13943         0.0 S    20R   0:01.29   0:00.96 
       13943         0.0 S    20R   0:00.31   0:00.22 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20R   0:00.02   0:00.02 
       13943         0.0 S    20R   0:00.14   0:00.10 
       13943         0.0 S    20R   0:00.16   0:00.11 
       13943         0.0 S    20R   0:00.13   0:00.10 
       13943         0.0 S    20R   0:00.03   0:00.02 
       13943         0.0 S    20R   0:00.03   0:00.02 
       13943         0.0 S    20R   0:00.10   0:00.06 
       13943         0.0 S    20R   0:00.07   0:00.04 
       13943         0.0 S    20R   0:00.01   0:00.01 
       13943         0.0 S    20R   0:00.03   0:00.02 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20R   0:00.01   0:00.00 
