Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 13943   ??    0.0 S    20T   0:00.20   0:00.20 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49176 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-t76v2oox --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       13943         0.0 S    20T   0:00.14   0:00.02 
       13943         0.0 S    20T   0:00.02   0:00.01 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.25   0:00.11 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.05   0:00.02 
       13943         0.0 S    20T   0:00.06   0:00.01 
       13943         0.0 S    19T   0:00.00   0:00.00 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.08   0:00.02 
       13943         0.0 S    20T   0:00.04   0:00.01 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.07   0:00.02 
       13943         0.0 S    20T   0:00.01   0:00.01 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
