Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 13943   ??    0.0 S    20T   0:08.43   0:13.87 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49176 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-t76v2oox --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       13943         0.0 S    20T   0:18.85   0:02.66 
       13943         0.0 S    20T   0:06.70   0:02.60 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:06.86   0:02.77 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    19T   0:00.05   0:00.02 
       13943         0.0 S    20R   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:07.06   0:02.71 
       13943         0.0 S    20T   0:07.39   0:02.85 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:00.00   0:00.00 
       13943         0.0 S    20T   0:05.45   0:02.14 
       13943         0.0 S    20T   0:00.19   0:00.15 
       13943         0.0 S    20T   0:03.03   0:02.65 
       13943         0.0 S    20T   0:01.75   0:00.67 
