Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  2445   ??    0.0 S    20T   0:03.47   0:09.73 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49168 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-vb_1vpy9 --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        2445         0.0 S    20T   0:02.46   0:01.08 
        2445         0.0 S    20T   0:01.55   0:01.51 
        2445         0.0 S    20T   0:01.85   0:01.82 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:01.45   0:02.16 
        2445         0.0 S    20T   0:01.42   0:02.18 
        2445         0.0 S    19T   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:01.73   0:01.67 
        2445         0.0 S    20T   0:01.49   0:01.47 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.75   0:01.14 
        2445         0.0 S    20R   0:00.72   0:01.12 
        2445         0.0 S    20T   0:01.65   0:01.63 
        2445         0.0 S    20T   0:01.38   0:02.09 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.85   0:01.28 
        2445         0.0 S    20R   0:01.29   0:01.92 
        2445         0.0 S    20T   0:00.07   0:00.14 
        2445         0.0 S    20R   0:00.40   0:00.43 
        2445         0.0 S    20R   0:01.10   0:01.70 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.03   0:00.05 
        2445         0.0 S    20R   0:00.27   0:00.23 
        2445         0.0 S    20R   0:00.01   0:00.02 
        2445         0.0 S    20R   0:00.12   0:00.12 
        2445         0.0 S    20R   0:00.16   0:00.15 
        2445         0.0 S    20R   0:00.11   0:00.10 
        2445         0.0 S    20R   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.06   0:00.05 
        2445         0.0 S    20R   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.02   0:00.02 
        2445         0.0 S    20R   0:00.03   0:00.03 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.01 
        2445         0.0 S    20R   0:00.05   0:00.06 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
