Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  2445   ??    0.0 S    20T   0:00.05   0:00.08 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49168 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-vb_1vpy9 --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        2445         0.0 S    20T   0:00.01   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.01   0:00.01 
        2445         0.0 S    20T   0:00.01   0:00.01 
        2445         0.0 S    19T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.03   0:00.02 
        2445         0.0 S    20T   0:00.01   0:00.02 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.03   0:00.02 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.02   0:00.01 
        2445         0.0 S    20T   0:00.01   0:00.01 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.01   0:00.01 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.04   0:00.01 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20T   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
        2445         0.0 S    20R   0:00.00   0:00.00 
