Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  8102   ??    0.0 S    20T   0:07.47   0:11.14 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49173 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-_pkven3d --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        8102         0.0 S    20T   0:15.78   0:02.04 
        8102         0.0 S    20T   0:05.54   0:01.97 
        8102         0.0 S    20T   0:05.73   0:02.05 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:03.39   0:02.40 
        8102         0.0 S    20T   0:03.07   0:02.17 
        8102         0.0 S    19T   0:00.04   0:00.02 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20T   0:05.94   0:02.10 
        8102         0.0 S    20T   0:04.61   0:01.62 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:04.85   0:01.69 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.75   0:01.17 
        8102         0.0 S    20R   0:00.72   0:01.17 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:02.83   0:02.12 
        8102         0.0 S    20T   0:03.41   0:02.51 
        8102         0.0 S    20T   0:03.28   0:02.31 
        8102         0.0 S    20T   0:03.14   0:02.26 
        8102         0.0 S    20T   0:00.17   0:00.15 
        8102         0.0 S    20R   0:01.06   0:00.53 
        8102         0.0 S    20R   0:00.06   0:00.02 
        8102         0.0 S    20T   0:02.86   0:00.98 
        8102         0.0 S    20R   0:00.36   0:00.22 
        8102         0.0 S    20R   0:00.56   0:00.36 
        8102         0.0 S    20R   0:00.30   0:00.19 
        8102         0.0 S    20R   0:00.22   0:00.13 
        8102         0.0 S    20R   0:00.02   0:00.02 
        8102         0.0 S    20R   0:00.16   0:00.11 
        8102         0.0 S    20R   0:00.16   0:00.10 
        8102         0.0 S    20R   0:00.60   0:00.41 
        8102         0.0 S    20R   0:00.03   0:00.02 
        8102         0.0 S    20R   0:00.04   0:00.02 
        8102         0.0 S    20R   0:00.15   0:00.10 
        8102         0.0 S    20R   0:00.01   0:00.00 
        8102         0.0 S    20R   0:00.05   0:00.03 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.02   0:00.01 
        8102         0.0 S    20R   0:00.01   0:00.01 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.01   0:00.00 
