Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  8102   ??    0.0 S    20T   0:00.14   0:00.12 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-amd64 --port 49173 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-_pkven3d --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        8102         0.0 S    20T   0:00.09   0:00.01 
        8102         0.0 S    20T   0:00.17   0:00.08 
        8102         0.0 S    20T   0:00.04   0:00.01 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.03   0:00.02 
        8102         0.0 S    20T   0:00.03   0:00.02 
        8102         0.0 S    19T   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.01   0:00.00 
        8102         0.0 S    20T   0:00.03   0:00.01 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.04   0:00.01 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.05   0:00.03 
        8102         0.0 S    20R   0:00.01   0:00.00 
        8102         0.0 S    20R   0:00.01   0:00.01 
        8102         0.0 S    20R   0:00.01   0:00.01 
        8102         0.0 S    20R   0:00.01   0:00.00 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.01   0:00.01 
        8102         0.0 S    20R   0:00.02   0:00.02 
        8102         0.0 S    20T   0:00.02   0:00.01 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.02   0:00.00 
        8102         0.0 S    20R   0:00.04   0:00.02 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.01   0:00.01 
        8102         0.0 S    20T   0:00.01   0:00.01 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20T   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.00   0:00.00 
        8102         0.0 S    20R   0:00.04   0:00.02 
        8102         0.0 S    20R   0:00.03   0:00.02 
        8102         0.0 S    20R   0:00.00   0:00.00 
