Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 26709   ??    0.0 S    20T   0:04.02   0:11.18 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49176 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-d1cw0qpg --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       26709         0.0 S    20T   0:03.07   0:01.39 
       26709         0.0 S    20T   0:02.03   0:02.12 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:01.66   0:01.71 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:01.93   0:02.51 
       26709         0.0 S    20T   0:01.70   0:02.09 
       26709         0.0 S    19T   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:02.17   0:02.25 
       26709         0.0 S    20T   0:01.89   0:01.99 
       26709         0.0 S    20T   0:00.00   0:00.01 
       26709         0.0 S    20R   0:00.88   0:01.35 
       26709         0.0 S    20R   0:00.80   0:01.27 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:02.32   0:02.38 
       26709         0.0 S    20T   0:01.45   0:01.81 
       26709         0.0 S    20T   0:01.52   0:01.97 
       26709         0.0 S    20T   0:01.54   0:02.00 
       26709         0.0 S    20T   0:01.36   0:01.76 
       26709         0.0 S    20T   0:00.09   0:00.18 
       26709         0.0 S    20R   0:00.51   0:00.60 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:01.24   0:01.58 
       26709         0.0 S    20R   0:00.02   0:00.03 
       26709         0.0 S    20R   0:00.03   0:00.04 
       26709         0.0 S    20R   0:00.17   0:00.11 
       26709         0.0 S    20R   0:00.16   0:00.13 
       26709         0.0 S    20R   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.19   0:00.16 
       26709         0.0 S    20R   0:00.24   0:00.12 
       26709         0.0 S    20R   0:00.03   0:00.02 
       26709         0.0 S    20R   0:00.05   0:00.03 
       26709         0.0 S    20R   0:00.11   0:00.07 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
