Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 26709   ??    0.3 S    20T   0:00.12   0:00.18 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49176 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-d1cw0qpg --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.07   0:00.05 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.03   0:00.02 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    19T   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.01   0:00.02 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.00   0:00.01 
       26709         0.0 S    20R   0:00.05   0:00.04 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.01   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20R   0:00.05   0:00.05 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.02   0:00.02 
       26709         0.0 S    20R   0:00.02   0:00.02 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20T   0:00.01   0:00.01 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.02   0:00.01 
       26709         0.0 S    20R   0:00.08   0:00.03 
       26709         0.0 S    20T   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.01   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
       26709         0.0 S    20R   0:00.00   0:00.00 
