Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  5090   ??    0.0 S    20T   0:00.11   0:00.10 /Users/runner/work/Smart-Stage/Smart-Stage/dist/profile-bin/smartstage --port 49170 --bind 127.0.0.1 --config-dir /var/folders/20/jp1_0n3n7kndh6rnbqb5344m0000gn/T/smartstage-native-http-vg4fme2z --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        5090         0.0 S    20T   0:00.08   0:00.01 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.11   0:00.05 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.04   0:00.01 
        5090         0.0 S    20T   0:00.04   0:00.01 
        5090         0.0 S    19T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.05   0:00.02 
        5090         0.0 S    20T   0:00.02   0:00.01 
        5090         0.0 S    20T   0:00.03   0:00.01 
        5090         0.0 S    20T   0:00.03   0:00.01 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.05   0:00.03 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.01   0:00.00 
        5090         0.0 S    20R   0:00.01   0:00.01 
        5090         0.0 S    20R   0:00.01   0:00.01 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.02   0:00.01 
        5090         0.0 S    20R   0:00.05   0:00.03 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.03   0:00.02 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.02   0:00.01 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.01   0:00.01 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20T   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
        5090         0.0 S    20R   0:00.00   0:00.00 
