Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 22586   ??    0.0 S    20T   0:04.01   0:12.59 /Users/runner/work/Smart-Stage/Smart-Stage/dist/profile-bin/smartstage --port 49179 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-lqp366kz --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       22586         0.0 S    20T   0:03.32   0:01.28 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:01.90   0:01.67 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:01.38   0:02.24 
       22586         0.0 S    20T   0:01.56   0:02.49 
       22586         0.0 S    19T   0:00.01   0:00.01 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20T   0:01.65   0:01.45 
       22586         0.0 S    20T   0:01.41   0:01.27 
       22586         0.0 S    20T   0:02.33   0:02.05 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.87   0:01.59 
       22586         0.0 S    20R   0:00.86   0:01.62 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:01.57   0:02.48 
       22586         0.0 S    20T   0:01.49   0:02.41 
       22586         0.0 S    20T   0:01.10   0:01.75 
       22586         0.0 S    20T   0:00.07   0:00.16 
       22586         0.0 S    20R   0:00.37   0:00.44 
       22586         0.0 S    20T   0:02.47   0:02.22 
       22586         0.0 S    20T   0:00.68   0:01.08 
       22586         0.0 S    20T   0:00.85   0:00.76 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.77   0:00.69 
       22586         0.0 S    20R   0:00.04   0:00.05 
       22586         0.0 S    20R   0:00.20   0:00.17 
       22586         0.0 S    20R   0:00.23   0:00.19 
       22586         0.0 S    20R   0:00.13   0:00.10 
       22586         0.0 S    20R   0:00.33   0:00.41 
       22586         0.0 S    20R   0:00.09   0:00.08 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.01   0:00.01 
       22586         0.0 S    20R   0:00.01   0:00.01 
       22586         0.0 S    20R   0:00.04   0:00.03 
       22586         0.0 S    20R   0:00.06   0:00.05 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.01 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
