Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner 22586   ??    0.0 S    20T   0:00.04   0:00.08 /Users/runner/work/Smart-Stage/Smart-Stage/dist/profile-bin/smartstage --port 49179 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-lqp366kz --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
       22586         0.0 S    20T   0:00.01   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.01   0:00.01 
       22586         0.0 S    20T   0:00.01   0:00.00 
       22586         0.0 S    19T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.01   0:00.01 
       22586         0.0 S    20T   0:00.02   0:00.02 
       22586         0.0 S    20T   0:00.02   0:00.01 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.03   0:00.02 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.01   0:00.01 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.01   0:00.01 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.01   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.01   0:00.01 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.01   0:00.01 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.02   0:00.01 
       22586         0.0 S    20R   0:00.02   0:00.01 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.02   0:00.02 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20T   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
       22586         0.0 S    20R   0:00.00   0:00.00 
